ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
5405,3,-39.007119,177.075047,F,bl,142,144,133,149,258,284,255,287,255,255,85,89,186,186,228,228,235,251
5419,3,-39.004671,177.078233,M,br,138,138,133,149,264,278,255,255,NA,NA,89,91,186,186,242,248,223,231
5421,3,-39.002393,177.080654,M,gr,144,144,133,133,258,258,255,255,257,265,83,89,166,166,232,248,223,223
5422,3,-39.002671,177.079931,F,gr,138,138,133,153,258,278,255,255,NA,NA,85,89,182,186,228,248,NA,NA
5424,3,-39.005999,177.076138,F,bl,126,138,133,133,258,258,255,255,259,269,89,91,164,182,232,248,NA,NA
5425,3,-39.003902,177.078049,M,br,136,140,133,149,258,276,255,299,261,265,75,89,166,166,228,228,223,233
5426,3,-39.00545,177.076083,F,bl,138,140,133,139,264,266,255,255,257,265,89,91,182,186,228,248,223,235
5427,3,-39.004659,177.076279,F,bl,126,138,133,133,258,258,255,259,259,271,85,91,176,182,228,232,227,231
5428,3,-39.006235,177.075319,F,bl,126,134,145,147,NA,NA,255,255,NA,NA,89,91,180,186,228,228,223,223
5430,3,-39.004326,177.077022,M,bl,126,144,133,151,258,276,259,259,NA,NA,NA,NA,166,176,NA,NA,NA,NA
5450,3,-39.0051,177.088706,M,bl,138,138,133,133,258,258,287,299,219,269,87,89,166,178,228,228,227,237
5451,3,-39.023602,177.090033,M,bl,142,144,133,133,264,264,255,299,257,269,89,89,160,170,228,228,231,233
5452,3,-39.017645,177.095741,M,bl,126,144,133,133,258,270,255,287,255,257,89,89,166,180,228,248,223,233
5467,3,-39.02034,177.093517,M,bl,130,142,133,149,278,278,255,255,255,265,87,91,178,186,228,248,223,223
5469,3,-39.004914,177.093931,M,bl,138,142,133,153,258,264,255,287,257,269,83,89,166,178,250,250,223,223
5471,3,-39.004183,177.089889,M,bl,126,136,133,153,NA,NA,255,259,NA,NA,87,87,166,176,248,248,NA,NA
5472,3,-39.002912,177.085839,M,bl,140,140,133,155,NA,NA,255,255,NA,NA,87,87,178,180,228,248,NA,NA
5473,3,-39.002663,177.087766,F,bl,136,138,NA,NA,NA,NA,255,259,273,273,89,93,166,186,228,248,223,233
5474,3,-39.006467,177.095905,M,br,136,138,133,133,258,278,255,255,219,269,89,89,166,166,228,250,223,223
5476,3,-39.00423,177.092873,M,gr,140,142,133,151,264,270,255,255,219,265,85,87,166,166,228,228,NA,NA
5477,3,-39.009981,177.100007,M,gr,136,138,133,145,258,266,255,255,NA,NA,89,89,166,176,NA,NA,NA,NA
5492,3,-39.004229,177.092388,F,bl,136,138,133,133,266,266,255,259,257,269,89,95,182,186,248,254,NA,NA
5858,3,-39.002499,177.08274,M,gr,126,144,145,145,NA,NA,255,255,NA,NA,83,89,166,186,228,228,NA,NA
5859,3,-39.002753,177.083726,F,bl,138,138,151,153,276,278,255,255,219,271,87,87,166,186,248,248,233,235
6369,3,-39.009849,177.100924,F,bl,138,142,133,133,276,276,255,255,NA,NA,89,89,180,186,228,248,231,231
6370,3,-39.004226,177.093,F,bl,138,140,133,133,278,278,NA,NA,219,269,87,89,178,186,228,228,233,233
